EntityName,Country,CompanyNumber,DateofInc,PreviousNames,PlaceofInc,RegisteredAddress,Directors,Officers,IssuedCapital,Shareholders,PrincipalActivity,Active
Sims Recycling Solutions Inc.,United States,36-2246417,6/1/1953,United Refining & Smelting Co.,Illinois,"Illinois Corporation Service Company, 801 Aldai Stevenson Drive, Springfield, IL 62703","Ingrid Sinclair, Angela Catt","Angela Catt (Secretary), Brent Stewart (Treasurer), Cindy Tait (Assistant Treasurer)",66.667 common shares,"Sims Recycling Solutions Holdings, Inc.",IT Asset Disposition and E-Waste Recycling,Yes
Simsmetal East LLC,United States,20-8484120,2/21/2007,"Prolerized Shiabo-Neu
Hugo Neu Schnitzer East, Sims Hugo Neu East, Sims Hugo Neu East LLC",Delaware,"c/o Corporation Service Company, 251 Little Falls Drive, Wilmington, DE 19808",Member Managed,Scott Miller (Secretary),,Sims Group USA Holdings Corporation,Scrap metal recycling,Yes
Simsmetal West LLC,United States,20-848184,2/21/2007,Sims Hugo Neu West LLC,Delaware,"c/o Corporation Service Company, 251 Little Falls Drive, Wilmington, DE 19808",Member Managed,Scott Miller (Secretary),,Sims Group USA Holdings Corporation,Scrap metal recycling,Yes
SMM - North America Trade Corporation,United States,25-1619177,1/4/1989,"R&P Holdings, Inc., Metal Management S&A Holdings, Inc.",Delaware,"c/o Corporation Service Company, 251 Little Falls Drive, Wilmington, DE 19808","Joe Payesko, Jim Clark",Scott Miller (Secretary),"20,000 shares at US$1.00 par value","Metal Management, Inc.",Secondary metal trading,No
Sims Metal Management USA GP,United States,33-1216647,5/27/2008,N/A,Delaware,"c/o Corporation Service Company, 251 Little Falls Drive, Wilmington, DE 19808","Partners, Gretchen Johanns",,"$10,000 ",Sims Group Holdings 1 Pty Ltd (99.9%); Sims Group Holdings 2 Pty Ltd (0.1%),Holding Company,Yes
SMM Southeast LLC,United States,45-3807558,11/9/2011,N/A,Delaware,"c/o Corporation Service Company, 251 Little Falls Drive, Wilmington, DE 19808",Member Managed,Scott Miller (Secretary),,Sims Group USA Holdings Corporation,Scrap metal recycling,Yes
Converge Engineering LLC,United States,37-1833409,7/26/2016,N/A,Delaware,"c/o Corporation Service Company, 251 Little Falls Drive, Wilmington, DE 19808",Member Managed,,,"Sims Recycling Solutions, Inc.",Engineering services,No
Sims Energy USA Holdings Corp,United States,86-3807558,3/29/2021,N/A,Delaware,"c/o Corporation Service Company, 251 Little Falls Drive, Wilmington, DE 19808",Stephen Skurnac,Gretchen Johanns,100 shares of US$1.00 par value,Sims Group USA Holdings Corporation,Holding Company,Yes
Sims Energy USA LLC,United States,86-2961541,3/29/2021,N/A,Delaware,"c/o Corporation Service Company, 251 Little Falls Drive, Wilmington, DE 19808","Stephen Skurnac, Stephen Mikkelsen, Gretchen Johanns, John Falzon, Stuart Glenn",Gretchen Johanns,,Sims Energy USA Holdings Corporation,Generation and distribution of renewable energy,Yes
Global Sustainability Insurance Corporation,United States,85-3745188,11/20/2020,N/A,Hawaii,"Corporation Service Company, 1003 Bishop Street, Suite 1600, Honolulu, HI 96813","Stephen Mikkelsen, Brent Stewart",Brent Stewart,"100,000 shares at US$1.00 par value","Metal Management, Inc.",Captive insurance company,Yes
SA Recycling LLC,United States,74-3222369,6/4/2007,N/A,Delaware,"c/o Corporation Service Company, 251 Little Falls Drive, Wilmington, DE 19808","Managers, Alistair Field, Michael Movsas, Stephen Mikkelsen, Gretchen Johanns, George Adams, Wendy Adams, Terry Adams, Michael Adams",Mark Sweetman,,"Simsmetal West LLC (50%); Adams Steel, LLC (50%)",Scrap metal recycling,Yes
"Rondout Iron & Metal Company, LLC",United States,36-4362524,4/18/2000,N/A,Delaware,"c/o Corporation Service Company, 251 Little Falls Drive, Wilmington, DE 19808",Member Managed,,,"Miller Compressing Company (50%); Metal Management Midwest, Inc. (50%)",Scrap metal recycling,Yes
Sims Group Canada Holdings Limited,Canada,24931,8/9/1995,"Sims Canada Limited, Sims Group Canada Limited",Yukon Territory,"200 - 204 Lambert Street, Whitehorse, Yukon Y1A 3T2",Rod Shields; Michael Movsas,,"6,125,000 shares of CAN$1 each fully paid",Sims Group Australia Holdings Limited,Holding Company,Yes
Sims Group Recycling Solutions Canada Ltd,Canada,BC0782662,2/13/2007,"Sims Group Recycling Solutions Canada Ltd, Sims Recycling Solutions Canada Ltd",British Columbia,"1200-999 West Hastings Street, Vancouver, British Columbia V6C 2W2 Canada",Stephen Skurnac; Sébastien Rosner,Darrell Stoecklin,"3,446,941 common shares",Sims Group UK Limited,E-Waste Recycling,Yes
Richmond Steel Recycling Limited,Canada,104524939 BC0002,10/21/1981,N/A,British Columbia,"11760 Mitchell Road, Richmond, Canada V6V 1V6",Michael Movsas; John Glyde; Matt Lyons; Walter Reese,Michael Movsas,100 shares,"Sims Group Canada Holdings Ltd (50%), General Recycling of Washington, LLC (50%)",Scrap metal recycling,Yes
Sims Group German Holdings GmbH,Germany,HRB 101992,9/26/2006,Blitz 154-06 GmbH No. HRB 163586,Ginsheim-Gustavsburg,"Im Weiherfeld 25, D-65462 Ginsheim-Gustavsburg, Germany",Stephen Skurnac; Chris Fox,,"1 share of €25.000,00",Sims Group UK Limited,Holding Company,Yes
Sims Lifecycle Services GmbH,Germany,HRB 91294,3/3/1993,"Sims Technorecycle GmbH, Technorecycle Büromaschinen Verwertung GmbH",Ginsheim-Gustavsburg,"Im Weiherfeld 25, D-65462 Ginsheim-Gustavsburg, Germany",Stephen Skurnac; Chris Fox,,"1 share of €100.000,00",Sims Group German Holdings GmbH,IT Asset Disposition and E-Waste Recycling,Yes
Sims M+R GmbH,Germany,HRB 5094,9/13/1993,Metall + Recycling GmbH,Hamm,"Rathenaustraße 10, 59192 Bergkamen, Germany","Affüpper, Marc; Skurnac, Stephen Michael",,"€50.000,00",Sims Group German Holdings GmbH,Sold Mar. 2020,No
Sims Recycling Solutions Austrian Holdings GmbH,Austria,FN 357298 p,1/25/2011,N/A,"Müllendorf, Austria","Industriestrasse 2, A-7052 Müllendorf, Austria",Stephen Skurnac,,"€35.000,00",Sims Group UK Limited,Sold Mar. 2020,No
Sims Recycling Solutions Austrian Intermediate Holdings GmbH,Austria,FN 357699 d,1/26/2011,N/A,"Müllendorf, Austria","Industriestrasse 2, A-7052 Müllendorf, Austria",Stephen Skurnac,,"€35.000,00",Sims Recycling Solutions Austrian Holdings GmbH,Sold Mar. 2020,No
Sims Metrade GmbH,Austria,FN 249856 k,6/14/2004,Metrade Handels GmbH,"Müllendorf, Austria","Industriestrasse 2, A-7052 Müllendorf, Austria","Seidl, Friedrich; Skurnac, Stephen Michael",,"€35.000,00","Sims Recycling Solutions Anteilsverwaltung Austria GmbH (99.8%), Sims Group UK Limited (0.2%)",Sold Mar. 2020,No
Sims Recycling Solutions Sp. Z.o.o.,Poland,KRS 0000161511,5/28/1996,Device Poslka Sp. z o.o. Gadget Sp. z o.o.; Sims Lifecycle Services Sp. z o.o.,"Bydgoszcz, Poland","Bydgoszcz (85-463), ul. ??kowa 79, Poland",Chris Fox; Stephen Skurnac,,"PLN 1,073,600",Sims Group UK Limited,IT Asset Disposition and E-Waste Recycling,Yes
Sims Recycling Solutions s.r.o.,Czech Republic,25525573,4/16/1998,"Sims Lifecycle Services s.r.o.; Device Automation Czech, spol. s.r.o.",Czech Republic,"Hviezdoslavova 53, 62700 Brno-Slatina Czech Republic",Stephen Skurnac; Anand Narasimhan,,"CZK 200,000","90% Sims Group UK Limited, 10 % Sims Group UK Intermediate Holdings Limited",Dissolved Oct. 2021,No
Sims Recycling Solutions Africa Pty Ltd,South Africa,2009/019305/07,10/9/2009,Rolapro (Pty) Ltd,South Africa,"Compensation Station Rd, Braeside, Ballito KZN 4420, South Africa","Werth, Allan; Skurnac, Stephen Michael
",,100 shares,Sims Recycling Solutions Pte. Ltd.,Sold Jun. 2020,No
Sims Recycling Solutions FZE,United Arab Emirates,150717; Trade License no. 130656,2/22/2012,N/A,"Dubai, United Arab Emirates","Warehouse No. RA08YC05, Jebel Ali, Dubai, United Arab Emirates","Phelan, Stephen; Skurnac, Stephen Michael",,"AED 1,000,000",Sims Group UK Limited,Sold May 2021,No
Sims Recycling Solutions A/S,Norway,913 077 377,12/2/2013,N/A,Norway,"Løytnant Dons vei 4 1630 Gamle Fredrikstad,  Norway","Schede, Håkan Henry",,30 000 NOK,Sims Recycling Solutions AB,Sold Mar. 2020,No
Sims Lifecycle Services S.A. de C.V.,Mexico,SLS210816R89,8/24/2021,N/A,"Federal District, Mexico","Edificio Plaza Córdoba, 8-807, Col. Roma Norte, 06700 Ciudad de México",Ingrid Sinclair; Sean Magann,Carmen Decanini Quijano,"MXN $3,000","Sims Group UK Holdings Limited (99%), Sims Group UK Limited (1%)",IT Asset Disposition and E-Waste Recycling,Yes
Sims Lifecycle Serviços Ltda,Brazil,44.429.163/0001-60,11/26/2021,N/A,"São Paulo, Brazil","Avenida Paulo VI, nº 621, Sumaré, City of São Paulo, State of São Paulo 01262-010",Renato Canonico De Souza ,,"R$30,000",Sims Group UK Limited,IT Asset Disposition and E-Waste Recycling,Yes
